hom_count,illicit_resources,pop_slums,gini,corruption,pko_troops,pko_police,total_deaths,year,country_id
246,0,NA,NA,NA,116123,0,631,2017,660
171,0,61.0999984741211,NA,NA,125723,0,631,2018,660
1041,1,NA,NA,NA,0,0,909,2000,775
764,1,NA,NA,NA,0,0,1095,2003,775
743,1,NA,NA,NA,0,0,1105,2004,775
749,1,NA,NA,NA,0,0,1194,2007,775
879,1,NA,NA,NA,0,0,1246,2009,775
1436,1,NA,NA,NA,0,0,1387,2012,775
1230,1,41,NA,NA,0,0,1460,2014,775
1198,1,56.5999984741211,NA,NA,0,0,1561,2016,775
8153,0,NA,NA,NA,0,0,40567,2012,530
841,1,NA,NA,NA,0,9,7052,2007,790
892,1,NA,NA,NA,0,29,7052,2008,790
806,1,NA,NA,NA,0,0,7057,2009,790
813,1,58.0999984741211,32.8,NA,0,0,7057,2010,790
679,1,NA,NA,NA,0,0,7057,2011,790
642,1,NA,NA,NA,0,0,7057,2012,790
606,1,NA,NA,NA,0,0,7057,2013,790
558,1,54.2999992370605,NA,NA,0,0,7057,2014,790
627,1,51,NA,NA,0,0,7057,2016,790
1397,0,NA,NA,NA,693,0,839,1992,645
1118,0,NA,NA,NA,1501,0,839,1993,645
1267,0,NA,NA,NA,10756,0,839,1994,645
4596,0,NA,NA,NA,2654,0,1395,2008,645
4452,0,NA,NA,NA,2654,0,1395,2008,645
144,0,NA,NA,NA,2654,0,1395,2008,645
2554,0,NA,NA,NA,2660,0,1395,2009,645
2458,0,NA,NA,NA,2660,0,1395,2009,645
96,0,NA,NA,NA,2660,0,1395,2009,645
2691,0,52.7999992370605,NA,NA,2653,0,1395,2010,645
2553,0,52.7999992370605,NA,NA,2653,0,1395,2010,645
138,0,52.7999992370605,NA,NA,2653,0,1395,2010,645
2634,0,NA,NA,NA,3104,0,1395,2011,645
2518,0,NA,NA,NA,3104,0,1395,2011,645
116,0,NA,NA,NA,3104,0,1395,2011,645
2697,0,NA,29.5,NA,4220,20,1395,2012,645
2594,0,NA,29.5,NA,4220,20,1395,2012,645
103,0,NA,29.5,NA,4220,20,1395,2012,645
3339,0,NA,NA,NA,3159,30,1395,2013,645
3228,0,NA,NA,NA,3159,30,1395,2013,645
